Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_IST,Remaining,lat,lon
,Mongolia,04/27/2020 14:50,38,0,10,2020-04-27 14:50:00,28,46.825038799999994,103.8499736
,Malawi,04/27/2020 14:50,34,3,4,2020-04-27 14:50:00,27,-13.268720000000002,33.930196
,Zimbabwe,04/27/2020 14:50,31,4,5,2020-04-27 14:50:00,22,-18.4554963,29.746841399999997
,Angola,04/27/2020 14:50,26,2,6,2020-04-27 14:50:00,18,-11.877576800000002,17.5691241
,Antigua and Barbuda,04/27/2020 14:50,24,3,11,2020-04-27 14:50:00,10,17.223472100000002,-61.9554608
,Timor-Leste,04/27/2020 14:50,24,0,2,2020-04-27 14:50:00,22,-8.5151979,125.83757560000001
,Botswana,04/27/2020 14:50,22,1,0,2020-04-27 14:50:00,21,-23.1681782,24.5928742
,CAR,04/27/2020 14:50,19,0,10,2020-04-27 14:50:00,9,7.0323598,19.9981227
,Laos,04/27/2020 14:50,19,0,7,2020-04-27 14:50:00,12,20.0171109,103.378253
,Belize,04/27/2020 14:50,18,2,5,2020-04-27 14:50:00,11,16.8259793,-88.7600927
,Fiji,04/27/2020 14:50,18,0,12,2020-04-27 14:50:00,6,-18.123969600000002,179.0122737
,Grenada,04/27/2020 14:50,18,0,7,2020-04-27 14:50:00,11,12.136037400000001,-61.69040450000001
,New Caledonia,04/27/2020 14:50,18,0,17,2020-04-27 14:50:00,1,-20.4542886,164.55660580000003
,Curaçao,04/27/2020 14:50,16,1,11,2020-04-27 14:50:00,4,12.1845,-68.9640875
,Dominica,04/27/2020 14:50,16,0,13,2020-04-27 14:50:00,3,15.450510000000001,-61.344931
,Namibia,04/27/2020 14:50,16,0,8,2020-04-27 14:50:00,8,-23.2335499,17.323110699999994
,Saint Kitts and Nevis,04/27/2020 14:50,15,0,2,2020-04-27 14:50:00,13,17.250512,-62.6725973
,Saint Lucia,04/27/2020 14:50,15,0,15,2020-04-27 14:50:00,0,13.8250489,-60.975035999999996
,St. Vincent Grenadines,04/27/2020 14:50,14,0,5,2020-04-27 14:50:00,9,12.90447,-61.2765569
,Nicaragua,04/27/2020 14:50,13,3,7,2020-04-27 14:50:00,3,12.609015699999999,-85.29369109999998
,Falkland Islands,04/27/2020 14:50,13,0,11,2020-04-27 14:50:00,2,-51.9666424,-59.5500387
,Burundi,04/27/2020 14:50,11,1,4,2020-04-27 14:50:00,6,-3.3634357,29.8870575
,Montserrat,04/27/2020 14:50,11,1,2,2020-04-27 14:50:00,8,16.7417041,-62.19168440000001
,Turks and Caicos,04/27/2020 14:50,11,1,4,2020-04-27 14:50:00,6,21.7214683,-71.62017829999998
,Greenland,04/27/2020 14:50,11,0,11,2020-04-27 14:50:00,0,77.61923490000002,-42.8125967
,Seychelles,04/27/2020 14:50,11,0,6,2020-04-27 14:50:00,5,-4.6574976999999995,55.45401460000001
,Gambia,04/27/2020 14:50,10,1,8,2020-04-27 14:50:00,1,13.470061999999999,-15.4900464
,Suriname,04/27/2020 14:50,10,1,7,2020-04-27 14:50:00,2,4.1413025,-56.07711870000001
,MS Zaandam,04/27/2020 14:50,9,2,0,2020-04-27 14:50:00,7,26.087543,-80.10730600000002
,Vatican City,04/27/2020 14:50,9,0,2,2020-04-27 14:50:00,7,41.9038149,12.453152699999999
,Papua New Guinea,04/27/2020 14:50,8,0,0,2020-04-27 14:50:00,8,-5.6816069,144.2489081
,Mauritania,04/27/2020 14:50,7,1,6,2020-04-27 14:50:00,0,20.254038199999997,-9.2399263
,Bhutan,04/27/2020 14:50,7,0,4,2020-04-27 14:50:00,3,27.549511,90.5119273
,British Virgin Islands,04/27/2020 14:50,6,1,3,2020-04-27 14:50:00,2,18.4024395,-64.5661642
,St. Barth,04/27/2020 14:50,6,0,6,2020-04-27 14:50:00,0,17.9036287,-62.811568799999996
,South Sudan,04/27/2020 14:50,6,0,0,2020-04-27 14:50:00,6,7.869943099999999,29.6667897
,Western Sahara,04/27/2020 14:50,6,0,5,2020-04-27 14:50:00,1,24.1188663,-13.9508923
,Caribbean Netherlands,04/27/2020 14:50,5,0,0,2020-04-27 14:50:00,5,12.154702,-68.266323
,Sao Tome and Principe,04/27/2020 14:50,4,0,0,2020-04-27 14:50:00,4,0.8875497999999999,6.964871799999999
,Anguilla,04/27/2020 14:50,3,0,3,2020-04-27 14:50:00,0,18.195494699999998,-63.07502339999999
,Saint Pierre Miquelon,04/27/2020 14:50,1,0,0,2020-04-27 14:50:00,1,46.7832469,-56.1951589
,Yemen,04/27/2020 14:50,1,0,1,2020-04-27 14:50:00,0,16.3471243,47.8915271
New York,US,04/27/2020 14:50,293991,22275,31218,2020-04-27 14:50:00,240498,40.7127281,-74.0060152
New Jersey,US,04/27/2020 14:50,109038,5938,1271,2020-04-27 14:50:00,101829,40.0757384,-74.4041622
